gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000002834.18,11130.647684846219,-0.3343133604917233,0.1184686626399639,-2.8219560602935925,0.004773171657793324,0.012250961559232599
ENSG00000002919.15,1358.598891144139,-0.25211552845917656,0.10453002460336663,-2.4118958109482413,0.015869815821361575,0.03445184897616319
ENSG00000002933.9,1596.6647620303165,0.2160877853308002,0.2261019579076759,0.9557094831484618,0.339219030079706,0.442034680445444
ENSG00000003056.8,2695.7864313312352,-0.4230469515666447,0.13581871017825606,-3.1147914084253503,0.0018407503146389353,0.005354574653641807
ENSG00000003096.14,249.46120531660407,-1.0222927802887625,0.31864796817314256,-3.208219986933301,0.0013355929539229322,0.004063531382486178
ENSG00000003137.8,276.16203572448,-1.3214404571074723,0.30421910184995954,-4.343712965661193,1.400945365737517e-05,7.329257750567147e-05
ENSG00000003147.19,1341.3345856637513,1.480442381487299,0.193246566539353,7.660898757473239,1.8463637082641112e-14,6.792831642823287e-13
ENSG00000003249.15,1161.4841183725273,0.5744693502474283,0.2606805579556489,2.203729172411723,0.027543396266578077,0.055155219037247856
ENSG00000003393.15,909.0338945913824,-0.20728010662613874,0.1062237899057857,-1.9513529578447926,0.05101507337648494,0.09303914067416734
ENSG00000003400.15,971.4697325034703,-0.7336975394907971,0.18093075145977133,-4.05512901246049,5.0106639702345096e-05,0.00022473390902453486
ENSG00000003402.20,3683.4027448933725,-0.3217972474129595,0.11892795128773186,-2.70581679015398,0.0068136625359900005,0.01668871755056793
ENSG00000003436.16,1684.550611542378,-1.0354404563907091,0.25590930646970445,-4.0461227091531695,5.207294395420073e-05,0.00023211856396335094
ENSG00000003509.16,612.8743028184438,0.09064495422065796,0.0938748651511646,0.9655934426610832,0.3342476578299757,0.43700879647332036
ENSG00000003756.17,2382.4434864285195,0.39775786762746657,0.10074784465607045,3.948053370127359,7.878924229388211e-05,0.00033502738527467794
ENSG00000003987.14,56.779254132413186,0.9674376933108328,0.19439609094675564,4.976631415781968,6.470035514600598e-07,4.893749742379334e-06
ENSG00000003989.18,862.6790162453303,1.024791949801491,0.2914739620541598,3.515895356755986,0.0004382736878020101,0.0015233436253921406
ENSG00000004059.11,5713.502492762432,-0.3096085366771254,0.11014820809561866,-2.8108358912961804,0.00494129821003326,0.012625653467691001
