,Frequency
CYP4F22,1
NSMF,1
CEMIP2,1
CD38,1
HTATIP2,1
ITGB8,1
TSPAN12,1
SLC39A8,1
TRIM45,1
HSPB6,1
IFNGR1,1
RASSF10,1
ZEB1,1
LRRC8A,1
POPDC2,1
CCM2L,1
LDB3,1
PDLIM3,1
LTB4R,1
ELF3,1
NR3C2,1
PTGER3,1
TRIM22,1
TNFRSF19,1
FRMD6,1
MT1E,1
PLK2,1
MAP2,1
FGF13,1
MT1L,1
IDO1,1
PARD6A,1
PPM1N,1
LYPD6,1
SERPINB1,1
ACKR1,1
MBOAT2,1
SIGLEC1,1
VNN1,1
PPP1R9A,1
AOC3,1
NCALD,1
FPR1,1
EDNRB,1
RCAN2,1
TG,1
